fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
15,mic_fileid_15_doa78_3spk.wav,"266,300,78","90,270,190","1.000000,0.917800,0.218996",39.333333333333336,0.019578159999582567,0.001252000639461715
16,mic_fileid_16_doa36_3spk.wav,"36,320,159","10,295,50","1.000000,0.999691,0.810597",53.333333333333336,0.01753399500012165,0.0011192477279514646
17,mic_fileid_17_doa99_3spk.wav,"99,163,281","100,5,170","1.000000,0.806578,0.339641",30.666666666666668,0.017404046000592643,0.0010530913601895513
18,mic_fileid_18_doa181_3spk.wav,"181,231,268","180,100,245","1.000000,0.111850,0.087279",51.666666666666664,0.021910515999479685,0.0014001224359051496
19,mic_fileid_19_doa121_3spk.wav,"340,268,121","265,345,180","1.000000,0.400820,0.357277",22.333333333333332,0.01866031700046733,0.0010879303293596175
20,mic_fileid_20_doa68_3spk.wav,"68,186,246","80,15,180","1.000000,0.411547,0.302414",49.0,0.029096420999849215,0.0017449782075699516
21,mic_fileid_21_doa34_3spk.wav,"34,350,147","10,75,180","1.000000,0.562975,0.210054",31.333333333333332,0.024850289000823977,0.0014524051491590455
22,mic_fileid_22_doa22_3spk.wav,"345,22,123","160,270,95","1.000000,0.534025,0.036724",61.666666666666664,0.02797837599973718,0.0016594036950112502
23,mic_fileid_23_doa6_3spk.wav,"212,92,6","195,245,90","1.000000,0.042977,0.033386",46.666666666666664,0.02810528599911777,0.001748466398066334
24,mic_fileid_24_doa57_3spk.wav,"289,113,57","280,90,165","0.926609,0.896081,0.448838",31.333333333333332,0.041985635998571524,0.0025417534108876645
25,mic_fileid_25_doa112_3spk.wav,"112,195,156","180,105,260","1.000000,0.927271,0.274109",32.0,0.01866695399985474,0.0012696772745337656
26,mic_fileid_26_doa34_3spk.wav,"34,339,67","75,20,185","1.000000,0.948126,0.130780",58.666666666666664,0.017958402999283862,0.0011766164681517985
27,mic_fileid_27_doa31_3spk.wav,"173,78,31","175,75,275","1.000000,0.723466,0.448404",40.333333333333336,0.023545519999970566,0.0013675341948581714
28,mic_fileid_28_doa124_3spk.wav,"217,314,124","190,95,345","1.000000,0.714592,0.642638",29.0,0.018811568999808514,0.0011118112856164254
29,mic_fileid_29_doa111_3spk.wav,"111,292,150","100,350,265","1.000000,0.353151,0.239629",61.333333333333336,0.021494915999937803,0.0013421425349039785
30,mic_fileid_30_doa12_3spk.wav,"12,55,279","10,65,280","1.000000,0.979096,0.272465",4.333333333333333,0.021026188998803264,0.0012435921070406556
31,mic_fileid_31_doa53_3spk.wav,"53,159,216","165,60,100","1.000000,0.207717,0.136925",39.0,0.019042175001231954,0.0010729043709228772
32,mic_fileid_32_doa102_3spk.wav,"102,229,286","350,275,195","1.000000,0.723471,0.545323",52.333333333333336,0.01911851899967587,0.0011446501421748761
33,mic_fileid_33_doa34_3spk.wav,"345,34,132","90,180,275","0.510140,0.239363,0.176244",58.0,0.023583676000271225,0.0013817986655986188
34,mic_fileid_34_doa125_3spk.wav,"157,125,263","165,265,105","1.000000,0.891180,0.494051",10.0,0.02851013999861607,0.0017925691425365936
35,mic_fileid_35_doa24_3spk.wav,"24,238,182","75,15,165","1.000000,0.361829,0.083043",63.0,0.025290180999945733,0.001391060806905516
36,mic_fileid_36_doa24_3spk.wav,"269,24,202","270,90,10","1.000000,0.087512,0.067546",42.333333333333336,0.0263175259988202,0.0015202227404313693
37,mic_fileid_37_doa51_3spk.wav,"104,249,51","100,185,255","1.000000,0.022815,0.019402",45.333333333333336,0.018475622999176267,0.0013312885861922659
38,mic_fileid_38_doa1_3spk.wav,"1,262,75","270,180,80","1.000000,0.654507,0.356377",59.333333333333336,0.03057361599894648,0.001730855545510058
39,mic_fileid_39_doa156_3spk.wav,"250,291,156","260,185,100","1.000000,0.020136,0.017966",50.666666666666664,0.02208031000009214,0.0013548903922617787
40,mic_fileid_40_doa14_3spk.wav,"14,91,199","185,5,85","1.000000,0.485856,0.338303",9.666666666666666,0.019127262999973027,0.0013735915978436643
41,mic_fileid_41_doa86_3spk.wav,"116,86,235","255,105,175","1.000000,0.978096,0.798171",32.666666666666664,0.02181742100037809,0.0013367698670656264
42,mic_fileid_42_doa76_3spk.wav,"76,209,324","280,80,180","0.815296,0.705379,0.415102",25.666666666666668,0.020004699999844888,0.001157269197107211
43,mic_fileid_43_doa44_3spk.wav,"273,44,114","275,85,20","1.000000,0.338073,0.179201",18.333333333333332,0.019525458999851253,0.0012419096655096721
44,mic_fileid_44_doa184_3spk.wav,"215,184,256","190,250,105","1.000000,0.432498,0.222527",36.666666666666664,0.027927822000492597,0.0016424749022549826
45,mic_fileid_45_doa62_3spk.wav,"278,62,200","275,80,175","1.000000,0.405128,0.198283",15.333333333333334,0.020935300999553874,0.0012444729047668766
46,mic_fileid_46_doa151_3spk.wav,"189,151,324","185,270,90","1.000000,0.584227,0.291278",39.666666666666664,0.01930166000056488,0.0012034579293927039
47,mic_fileid_47_doa63_3spk.wav,"104,190,63","100,260,5","1.000000,0.741193,0.669477",44.0,0.021180162999371532,0.001270612834972871
48,mic_fileid_48_doa191_3spk.wav,"227,301,191","200,260,335","1.000000,0.418536,0.175542",25.333333333333332,0.017859208001027582,0.0010894411029724628
49,mic_fileid_49_doa63_3spk.wav,"63,207,336","70,185,270","1.000000,0.151552,0.056671",31.666666666666668,0.02092970199919364,0.0012763180778238034
50,mic_fileid_50_doa7_3spk.wav,"58,261,7","15,70,185","1.000000,0.677320,0.357551",32.0,0.019784594000157085,0.0011682924186486021
51,mic_fileid_51_doa46_3spk.wav,"46,165,263","25,270,170","1.000000,0.638323,0.241104",11.0,0.02001751699935994,0.001246110370976092
52,mic_fileid_52_doa46_3spk.wav,"310,89,46","75,350,280","1.000000,0.821611,0.570757",33.333333333333336,0.023176786000476568,0.0014124973375167602
53,mic_fileid_53_doa65_3spk.wav,"106,65,219","100,255,170","1.000000,0.005740,0.004255",45.0,0.028469835000578314,0.0016850169050480258
54,mic_fileid_54_doa45_3spk.wav,"327,78,45","65,335,90","1.000000,0.053619,0.017373",13.333333333333334,0.02109233699957258,0.0014526903129978704
55,mic_fileid_55_doa55_3spk.wav,"144,55,186","95,165,10","1.000000,0.002269,0.001888",38.333333333333336,0.019852692999847932,0.001237766586384727
56,mic_fileid_56_doa11_3spk.wav,"64,114,11","85,5,165","1.000000,0.196242,0.085070",26.0,0.01994740700138209,0.0011639200321728364
57,mic_fileid_57_doa15_3spk.wav,"173,225,15","180,10,265","1.000000,0.557332,0.501094",17.333333333333332,0.02451574599945161,0.0014650588858930215
58,mic_fileid_58_doa91_3spk.wav,"128,91,315","110,270,175","1.000000,0.261348,0.040287",37.0,0.02030604600076913,0.001177068262719298
